FL_DATE,TEMPERATURE,WIND_SPEED,DEP_DELAY
2004-01-01,,,0
2004-01-01,,,-44
2004-01-01,,,-47
2004-01-01,,,-42
2004-01-01,,,-45
2004-01-01,,,-45
2004-01-01,,,-3
2004-01-01,,,-10
2004-01-01,,,0
2004-01-01,,,-44
2004-01-01,,,-44
2004-01-01,,,-42
2004-01-01,,,-4
2004-01-01,,,-6
2004-01-01,,,-2
2004-01-01,,,-49
2004-01-01,,,-50
2004-01-01,,,-4
2004-01-01,,,-45
2004-01-01,,,-43
2004-01-01,,,-7
2004-01-01,,,-45
2004-01-01,,,-5
2004-01-01,,,0
2004-01-01,,,-9
2004-01-01,,,0
2004-01-01,,,-48
2004-01-01,,,-47
2004-01-01,,,0
2004-01-01,,,0
2004-01-01,,,-6
2004-01-01,,,-4
2004-01-01,,,-1
2004-01-01,,,-1
2004-01-01,,,-5
2004-01-01,,,9
2004-01-01,,,-6
2004-01-01,,,3
2004-01-01,,,3
2004-01-01,,,-2
2004-01-01,,,-44
2004-01-01,,,2
2004-01-01,,,-46
2004-01-01,,,-47
2004-01-01,,,-44
2004-01-01,,,-8
2004-01-01,,,-1
2004-01-01,,,-2
2004-01-01,,,-1
2004-01-01,,,-5
2004-01-02,,,1
2004-01-02,,,-44
2004-01-02,,,-3
2004-01-02,,,1
2004-01-02,,,-5
2004-01-02,,,0
2004-01-02,,,-45
2004-01-02,,,-44
2004-01-02,,,-45
2004-01-02,,,-42
2004-01-02,,,-3
2004-01-02,,,-42
2004-01-02,,,-5
2004-01-02,,,105
2004-01-02,,,-50
2004-01-02,,,-1
2004-01-02,,,-5
2004-01-02,,,-45
2004-01-02,,,-42
2004-01-02,,,-43
2004-01-02,,,-50
2004-01-02,,,-44
2004-01-02,,,-47
2004-01-02,,,-46
2004-01-02,,,-42
2004-01-02,,,-42
2004-01-02,,,-5
2004-01-02,,,-6
2004-01-02,,,-42
2004-01-02,,,82
2004-01-02,,,-43
2004-01-02,,,-3
2004-01-02,,,0
